Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Think Rugs Brooklyn 646 Blue/Grey Rug,80.99,71.99,Save 11,Polypropylene,Easy to clean,Geometric,10.0,2000,,"Handmade , Modern"," Low-maintenance, high-quality rug! The delivery timing could have been better. Customer Service was really helpful!  |  This rug looks really great in my living room. It brings a sumptuous feel! Would definitely buy again!  |  It’s a perfect rug for my bedroom! The colour and material makes it a must have! –One Happy Customer!  |  Affordable, great-quality and luxurious! Got an amazing deal on this one! Would highly recommend!  |  My favorite rug arrives. Thrilled with the design which is very fruitful for my aim?5/5  |  Stunning geometric design, Cost-effective and high-quality rug! From order to delivery, everything was taken care of by The Rug Shop UK perfectly! ",67062f7df386a3a7f2624e8e
Checked Flatweave Natural Rug By Oriental Weavers,21.33,14.5,Save 32,Polypropylene,Easy to clean,"Bordered , Chequered",,1744,Egypt,Modern," A Total Contemporary look! From order to delivery, everything was handled by The Rug Shop UK perfectly.  |  The rugs we purchased were fantastic and go well in our dining room. We cannot ask for any better very satisfied with the purchase.  |  A Total Contemporary look! From order to delivery, everything was handled by The Rug Shop UK perfectly.  |  Affordable, easy to maintain and high-quality rug! Though the rug is quite good, the delivery should have been on time.  |  Absolutely stunning and high-quality rug! Apart from delayed delivery, happy with the whole ordering experience!  |  Great-quality rug with amazing texture! Got an amazing deal on this one! The whole ordering experience was great!  |  Absolutely amazing looking rug! It’s perfect for my home! Whole ordering experience was great! – Happy with the purchase! ",67062f7df386a3a7f2624e8f
Launder LDR01 CK031 Grey Blue Abstract Washable Flatweave Rug By Calvin Klein,60.0,50.0,Save 17,"Cotton , Polyester , Others",Easy to clean,"Abstract , Striped",6.0,,Turkey,"Modern , Striped",,67062f7df386a3a7f2624e90
Jazz JAZ03 Grey Black Geometric Rug by Concept Looms,129.0,100.14,Save 22,Recycled Material,Easy to clean,Geometric,3.0,,,"Luxurious , Modern , Outdoor , Moroccan",,67062f7df386a3a7f2624e91
Think Rugs Boho 8280 Rose Rug,89.99,53.55,Save 40,Polypropylene,Easy to clean,Chequered,40.0,2100,,"Kilim , Modern , Shaggy , Moroccan",,67062f7df386a3a7f2624e92
Mr Fox 25306 Mustard Hand Tufted Wool Rug by Scion,129.0,116.1,Save 10,Wool,Easy to clean,Animal,17.0,2500,,"Handmade , Luxurious , Modern , Wool"," Affordable, durable, and high quality! The delivery timing could have been better. Customer Service was good!  |  Perfect Rug for my Kid’s room! Great Quality Pile! Feels exceptionally soft underfoot.  |  Excellent quality with soft texture! The delivery and customer service were hassle-free!  |  Gorgeous, playful pattern and affordable! It’s extremely soft and comfy! Would highly recommend!  |  Amazing animal pattern! From order to delivery, everything was handled by The Rug Shop UK perfectly! ",67062f7df386a3a7f2624e93
Aurora AU01 Dune Rug by Asiatic,89.0,62.49,Save 30,"Polyester , Polypropylene",Easy to clean,"Abstract , Optical/ (3D)",8.0,2250,Turkey,Modern," The rug I chose in the dune color from Asiatic Aurora is a beautiful addition to my home. Its earthy tones create a serene and inviting ambiance.  |  Gorgeous, modern and affordable! The whole ordering experience was great! - One Happy Customer!  |  Received my rug a couple of days before Christmas, even though I was told I had passed the deadline for delivery. The rug was supposed to come second week of January. Great service and duper chuffed with the rug.  |  High-quality rug with amazing abstract design! From order to delivery, the whole process was smooth!  |  Super comfortable rug! The material is quiet durable! Customer service was great! - One Happy Customer!   |  Stunning design and colour scheme! The Rug looks perfect under my coffee table. Would definitely buy again!   |  Contemporary rug with brilliant tones! The customer service was okay. Delivery was a bit delayed.  |  Amazing quality! Cost-effective! And easy to maintain! From hassle-less ordering to timely delivery, everything was handled by The Rug Shop UK perfectly!  ",67062f7ef386a3a7f2624e94
Luxurious Designer Floral Wool Rug in Black - Bespoke Size,,,,"Viscose , Polyester , Wool",Professional Cleaning,Floral,10.16,970,India,"Handmade , Luxurious , Modern , Wool",,67062f7ef386a3a7f2624e95
Muse MU15 Multi Abstract Rug by Asiatic,39.0,35.1,Save 10,Polypropylene,Easy to clean,Abstract,9.0,2000,,"Funky , Modern",,67062f7ef386a3a7f2624e96
Glitz GLZ07 Ivory  Bordered Rug by Nourison,70.0,55.88,Save 20,Polyester,Easy to clean,"Bordered , Geometric , Plain",10.0,1720,,Modern,,67062f7ef386a3a7f2624e97
Royal Nomadic 7611 Rose Beige Shaggy Geometric Stain Resistant Easy to Clean Rug for Living & Dining Room,123.99,73.53,Save 41,Polypropylene,Easy to clean,Geometric,40.0,1535,,"Modern , Shaggy"," Luxurious, Sumptuous, and Classy-looking! Apart from delayed delivery, happy with the whole ordering experience!  |  I've been searching for a traditionalstyle rug to complement my dining room, and this rug fits the bill perfectly. The rich red and rust colors add a sense of warmth and coziness to the room. The traditional design is both timeless and eyecatching, and the rug is wellmade with durable materials. It's easy to clean, which is a big plus for a hightraffic area like my dining room. I'm extremely satisfied with this purchase.  |  The rug adds a touch of regal charm to my decor. The rose and cream hues create an inviting atmosphere, and the design is both elegant and timeless.  |  Really comfortable underfoot! The soft feel and texture makes it totally worth the money!  |  Extremely lush and exquisite! The material is really very soft! The look of this rug is extremely luxurious! Would highly recommend!  |  Affordable, soft and high quality! The feel of the rug is just brilliant! –One Happy Customer!  |  Extremely lush and comfortable! Whole ordering experience was great! – Happy with the purchase!  |  Great rug we are very happy. ",67062f7ef386a3a7f2624e98
Cleo 013-0036 5171 Blue Carved Shaggy Textured Rug by Mastercraft,223.2,169.08,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7ef386a3a7f2624e99
Cleo 013-0025 6191 Cream White Carved Shaggy Textured Rug by Mastercraft,105.6,80.42,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7ef386a3a7f2624e9a
Cleo 013-0025 5171 Blue Carved Shaggy Textured Rug by Mastercraft,223.2,169.08,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7ef386a3a7f2624e9b
Cleo 013-0025 7222 Brown Carved Shaggy Textured Rug by Mastercraft,223.2,169.08,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7ef386a3a7f2624e9c
Clarke & Clarke Passiflora Kingfisher Luxurious Floral Fringe Edge Rug,169.0,152.1,Save 10,Polyester,Professional Cleaning,"Floral , Nature Print",3.0,,Turkey,"Luxurious , Modern",,67062f7ef386a3a7f2624e9d
Cleo 013-0020 6191 Cream White Carved Shaggy Textured Rug by Mastercraft,223.2,169.08,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7ef386a3a7f2624e9e
Aurora AU08 Marble Rug by Asiatic,89.0,67.49,Save 24,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,2250,Turkey,Modern," Looks amazing in my living room! Delivery was earlier than expected. Customer service was great! 
  |  High-quality, soft vibe and stylish design! From order to delivery, everything was satisfactory! 
  |  This cotton rug is perfect for my bedroom! Apart from a bit delay in delivery, everything was perfect! 
  |  Brilliant abstract look! The rug is soft underfoot as well. Material is of high-quality! Would recommend! 
  |  Perfect rug for my deck! The whole ordering experience was hassle-less! A must have rug! 
  |  Brilliantly designed rug! Got an amazing discount on it as well! Would definitely buy again!  |  Great-Quality rug with amazing pattern! Delivery was on-time. Customer service was great!   |  Amazingly abstract rug! From order to delivery, The Rug Shop UK handled everything perfectly!  ",67062f7ef386a3a7f2624e9f
Think Rugs Boho 8280 White/Black Rug,132.99,79.41,Save 40,Polypropylene,Easy to clean,Chequered,40.0,2100,,"Kilim , Modern , Shaggy , Moroccan"," Brilliantly shaggy rug! Got an amazing discount on it as well. Would recommend!   |  Amazingly shaggy with stunning design appeal. Apart from delayed delivery, satisfied with the whole purchase and the Rug!   |  It looks perfect with my modern décor! Except for a bit delayed delivery, everything is satisfactory!  |  Luxuriously soft and Boho-chic! It gives my room a classy vibe! - One Happy Customer!   |  Plush look with Serene tones. Customer service was great. Delivery was earlier than expected!  |  I ordered a rug which was listed on the website as black and white but a black and cream rug turned up. The returns process was easy and customer service were helpful however overall I was disappointed that the rug wasn't as described on the website.  |  Boho-chic look with shaggy texture! The entire ordering process was amazing and hassle-less!   |  Really sumptuous underfoot! From order to delivery, everything was handled perfectly by The Rug Shop UK!  ",67062f7ef386a3a7f2624ea0
Imperial Nude Shaggy Wool Rug by Rug Guru,170.0,139.0,Save 18,Wool,Easy to clean,Plain,40.0,3450,India,"Handmade , Luxurious , Modern , Plain , Shaggy , Wool", Lovely rug. Fast delivery. Great product. ,67062f7ef386a3a7f2624ea1
Atlantic Streaks 8714 Montauk Multi Rug by Louis De Poortere,175.0,138.99,Save 21,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062f7ef386a3a7f2624ea2
Luxe Faux Fur Natural Plain Shaggy Rug by HMC,37.13,27.0,Save 27,Polyester,Easy to clean,Plain,30.0,,,"Modern , Plain , Shaggy , Traditional"," Affordable, high-quality and easy to maintain! Except for a bit delayed delivery, everything was perfect.  |  Great choice of rugs, different price ranges to suit all budgets. Easy ordering. Great product, feels great underfoot and looks more expensive than it cost.  |  Great-Quality, Luxurious texture and chic tone! It goes perfectly with my modern decor! Happy with the purchase!  |  Sumptuous look and alluring natural tones! The product delivered was top quality! – One Happy Customer!  |  Luxurious, soft and great quality rug! The quality is just perfect and worth the money spent!  |  Stunning shaggy look, soft vibe and perfect for my bedroom! The soft material gives a perfect feel underfoot. Would recommend it to anyone. ",67062f7ef386a3a7f2624ea3
Vinci 1401B Traditional Rug by Oriental Weavers,59.99,50.98,Save 15,Polypropylene,Easy to clean,"Bordered , Floral",6.3,1946,Egypt,"Traditional , Persian"," Love the Rug, better than the picture and fast delivery.  ",67062f7ff386a3a7f2624ea4
Poetic Reflection Vintage Grey Rug by Origins,50.0,40.9,Save 18,"Polyester , Polypropylene",Easy to clean,Abstract,20.0,1350,Turkey,Modern," Brilliant design and soft textured! Apart from a bit delay in delivery, everything was perfect!  |  High-quality rug! The texture is really amazing. Would definitely buy again! 
  |  Amazing abstract design with plush texture. Looks perfect in my bedroom. Would highly recommend!   |  Stunning texture and look! The entire purchase process was easy and less time consuming!  |  Excellently abstract look and luxurious texture. From order to delivery, everything was satisfactory!  ",67062f7ff386a3a7f2624ea5
Extravagance Ivory Shaggy Rug by Origins,30.0,20.4,Save 32,Polyester,Easy to clean,Plain,75.0,2000,China,"Luxurious , Modern , Plain , Shaggy"," Got an excellent purchase with this one! Apart from delay in the delivery, happy with the whole ordering experience!  |  Sumptuous texture and modern look! The pile is just amazing and uber-soft! Would highly recommend!  |  Extremely chic and luxurious! Whole ordering experience was great! – Happy with the purchase!  |  Perfectly plush-looking! Soft underfoot! From order to delivery, everything went smooth and hassle free!  |  Rug arrived on time. Very comfy and looks great.  |  Perfectly Shaggy Looking! Got an amazing deal on this one! Would definitely buy again! ",67062f7ff386a3a7f2624ea6
Boho 8280 Cream Grey Rug by Think Rugs,132.99,79.41,Save 40,Polypropylene,Easy to clean,Chequered,40.0,2100,,"Kilim , Modern , Shaggy , Moroccan"," Sumptuous underfoot! High-quality pile! From order to delivery, everything went smooth and hassle free!  |  A luxurious addition for my room! The colours are similar as shown in the picture. Would highly recommend!  |  Perfectly Shaggy Rug with Soft Fringes! Got an amazing discount on this one! Would definitely buy again!  |  Great quality rug with amazing Chequered pattern! Apart from delay in the delivery, happy with the whole ordering experience!  |  Extremely luxurious with Kilim Look! Whole ordering experience was great! – Happy with the purchase!  |  I'm really enjoying the cream grey rug in my decor. It's got a boho vibe, and the colors blend nicely with my overall theme. ",67062f7ff386a3a7f2624ea7
Orion OR01 Decor Pink Rug by Asiatic,79.0,71.1,Save 10,"Polyester , Polypropylene",Easy to clean,Abstract,11.0,2150,Turkey,Modern," This rug is like a breath of fresh air in my home. Its soft hues and charming design bring a sense of joy and serenity to my living space.  |  After reading some reviews, pleasantly surprised. No issues with a good quality rug. Delivery good communication, however, arrived outside the time slot but on the same day and cheerful driver who brought it into the 2nd floor flat, no problem. Would recommend.  |  Contemporary look, amazing abstract design and easy to maintain. Got an amazing offer on it as well! – One Happy Customer!
  |  Brilliant abstract look! From order to delivery, everything was great! –One Happy Customer!  |  Alluring tones and fascinating design scheme. Apart from delayed delivery, really happy with the purchase!  |  High-quality pile and exquisite look. Customer service was great! Delivery was earlier than expected. Would buy again for sure!  |  Stunning abstract design! The colour really complements my interior! A must have rug!  |  Amazing abstract look, durable material and easy to maintain. From order to delivery, everything was handled by The Rug Shop UK perfectly! ",67062f7ff386a3a7f2624ea8
Mad Men Cracks 8618 Deep Mine Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062f7ff386a3a7f2624ea9
Vista 4803 Cream Shaggy Rug By Think Rug,58.99,39.2,Save 34,Polypropylene,Easy to clean,Plain,,,,"Plain , Shaggy"," Lavish looking rug with gorgeous pile! Delivery was earlier than expected! Would recommend!  |  Sumptuous texture and gorgeous overall vibe. From order to delivery, The Rug Shop UK handled everything well!  |  Luxurious pile and sophisticated appeal! The whole ordering experience was great!  |  Exceptionally soft rug with brilliant tone! Customer service was great, but delivery was a bit delayed!  |  Lavishly shaggy with plain look! It looks amazing in my living room! Really happy with the whole ordering experience as well!  |  High-quality, plush texture and easy to maintain! Got a delayed delivery but happy with the product quality!  |  Sumptuously shaggy, sophisticated look and great quality! It’s a perfect rug for my bedroom! - One Happy Customer!   |  Plush look, captivating tone and high-quality pile! Got an amazing discount on it as well. Would recommend! ",67062f7ff386a3a7f2624eaa
Colours Mustard Plain Wool Rug by Oriental Weavers,89.99,78.9,Save 12,Wool,Easy to clean,"Bordered , Plain",16.0,,India,"Handmade , Luxurious , Modern , Wool",,67062f7ff386a3a7f2624eab
Chicago Rose Polyester Rug by Origins,70.0,53.8,Save 23,Polyester,Easy to clean,Plain,50.0,1750,China,"Handmade , Luxurious , Modern , Plain , Shaggy"," Affordable, soft and high quality! The product quality is just amazing! Got an amazing deal on this one!  |  Luxurious, Sumptuous, and chic-looking! The customer service and delivery were great! – One Happy Customer!  |  Perfect shaggy rug for my bedroom! From order to delivery, everything went smooth and hassle free!  |  Extremely lush and shaggy! Customer service was great. Delivery was a bit delayed!  |  Gorgeous, shaggy and affordable! The whole ordering experience was amazing. Would definitely buy again! ",67062f7ff386a3a7f2624eac
Gallery Dora 9143 Dorado Flatweave Rug by Louis De Poortere,196.0,176.4,Save 10,Cotton,Professional Cleaning,Pictorial,3.0,1500,Belgium,"Funky , Modern", Unique rugs with superb feel and touch... So happy with my rug. ,67062f7ff386a3a7f2624ead
Nourison Rustic Textures RUS08 Grey Blue Rug,99.0,82.08,Save 17,"Polyester , Polypropylene",Easy to clean,Abstract,10.0,,Turkey,"Luxurious , Modern"," Brilliant pattern and tone. Customer service was great. Delivery was on-time!  |  Good quality products, competitively priced, and delivered on schedule.  |  Contemporary look and high-quality pile. Apart from a bit delay in delivery, everything was satisfactory!  |  Stunning abstract pattern and easy to maintain. Got an amazing deal on this! Would recommend!   |  Amazing abstract patter and texture. From order to delivery, everything was perfect!   |  Dazzling look and comfortable pile. The entire ordering process was amazing and customer-friendly!
  |  Excellent abstract look. The pile is of high-quality. Would definitely buy again!   |  Contemporary look and exquisite texture. Apart from a bit delay in delivery, everything was perfect!  ",67062f7ff386a3a7f2624eae
